logseq-qualified-var	cljs.spec.alpha/assert	1
logseq-qualified-var	cljs.spec.alpha/check-asserts	1
logseq-qualified-var	cljs.spec.alpha/coll-of	2
logseq-qualified-var	cljs.spec.alpha/def	36
logseq-qualified-var	cljs.spec.alpha/explain-data	1
logseq-qualified-var	cljs.spec.alpha/keys	2
logseq-qualified-var	cljs.spec.alpha/or	1
logseq-qualified-var	cljs.test/*current-env*	1
logseq-qualified-var	cljs.test/async	4
logseq-qualified-var	cljs.test/deftest	3
logseq-qualified-var	cljs.test/empty-env	3
logseq-qualified-var	cljs.test/get-current-env	1
logseq-qualified-var	cljs.test/inc-report-counter!	1
logseq-qualified-var	cljs.test/is	7
logseq-qualified-var	cljs.test/report	5
logseq-qualified-var	cljs.test/run-tests	2
logseq-qualified-var	cljs.test/successful?	3
logseq-qualified-var	clojure.core.async/<!	2
logseq-qualified-var	clojure.core.async/go	1
logseq-qualified-var	clojure.core/+	1
logseq-qualified-var	clojure.core/-	3
logseq-qualified-var	clojure.core/->	3
logseq-qualified-var	clojure.core/=	4
logseq-qualified-var	clojure.core/>	1
logseq-qualified-var	clojure.core/and	1
logseq-qualified-var	clojure.core/apply	8
logseq-qualified-var	clojure.core/array-map	6
logseq-qualified-var	clojure.core/assoc	1
logseq-qualified-var	clojure.core/binding	1
logseq-qualified-var	clojure.core/case	1
logseq-qualified-var	clojure.core/concat	235
logseq-qualified-var	clojure.core/constantly	1
logseq-qualified-var	clojure.core/dec	1
logseq-qualified-var	clojure.core/deref	7008
logseq-qualified-var	clojure.core/dissoc	1
logseq-qualified-var	clojure.core/doseq	1
logseq-qualified-var	clojure.core/ex-info	1
logseq-qualified-var	clojure.core/fn	11
logseq-qualified-var	clojure.core/format	1
logseq-qualified-var	clojure.core/get	2
logseq-qualified-var	clojure.core/if-some	1
logseq-qualified-var	clojure.core/inc	1
logseq-qualified-var	clojure.core/keys	1
logseq-qualified-var	clojure.core/keyword	1
logseq-qualified-var	clojure.core/let	16
logseq-qualified-var	clojure.core/list	624
logseq-qualified-var	clojure.core/loop	1
logseq-qualified-var	clojure.core/map	1
logseq-qualified-var	clojure.core/mapcat	1
logseq-qualified-var	clojure.core/max	1
logseq-qualified-var	clojure.core/name	1
logseq-qualified-var	clojure.core/or	5
logseq-qualified-var	clojure.core/persistent!	1
logseq-qualified-var	clojure.core/println	2
logseq-qualified-var	clojure.core/prn	3
logseq-qualified-var	clojure.core/remove	1
logseq-qualified-var	clojure.core/reset!	1
logseq-qualified-var	clojure.core/seq	235
logseq-qualified-var	clojure.core/sequence	234
logseq-qualified-var	clojure.core/str	4
logseq-qualified-var	clojure.core/transient	1
logseq-qualified-var	clojure.core/update	2
logseq-qualified-var	clojure.core/vec	38
logseq-qualified-var	clojure.core/vector	1
logseq-qualified-var	clojure.core/vswap!	3
logseq-qualified-var	clojure.core/when	3
logseq-qualified-var	clojure.core/zero?	1
logseq-qualified-var	clojure.data.json/read-str	1
logseq-qualified-var	clojure.data/diff	12
logseq-qualified-var	clojure.edn/read-string	38
logseq-qualified-var	clojure.java.io/make-parents	1
logseq-qualified-var	clojure.java.io/resource	3
logseq-qualified-var	clojure.java.shell/sh	8
logseq-qualified-var	clojure.pprint/pprint	19
logseq-qualified-var	clojure.set/difference	67
logseq-qualified-var	clojure.set/intersection	53
logseq-qualified-var	clojure.set/map-invert	3
logseq-qualified-var	clojure.set/rename-keys	3
logseq-qualified-var	clojure.set/subset?	22
logseq-qualified-var	clojure.set/union	73
logseq-qualified-var	clojure.spec.alpha/assert	1
logseq-qualified-var	clojure.stacktrace/print-cause-trace	1
logseq-qualified-var	clojure.string/blank?	578
logseq-qualified-var	clojure.string/capitalize	23
logseq-qualified-var	clojure.string/ends-with?	70
logseq-qualified-var	clojure.string/includes?	1038
logseq-qualified-var	clojure.string/index-of	37
logseq-qualified-var	clojure.string/join	293
logseq-qualified-var	clojure.string/last-index-of	23
logseq-qualified-var	clojure.string/lower-case	290
logseq-qualified-var	clojure.string/replace	351
logseq-qualified-var	clojure.string/replace-first	62
logseq-qualified-var	clojure.string/reverse	2
logseq-qualified-var	clojure.string/split	120
logseq-qualified-var	clojure.string/split-lines	60
logseq-qualified-var	clojure.string/starts-with?	315
logseq-qualified-var	clojure.string/trim	375
logseq-qualified-var	clojure.string/trim-newline	1
logseq-qualified-var	clojure.string/triml	17
logseq-qualified-var	clojure.string/trimr	6
logseq-qualified-var	clojure.string/upper-case	24
logseq-qualified-var	clojure.test.check.generators/boolean	9
logseq-qualified-var	clojure.test.check.generators/elements	1
logseq-qualified-var	clojure.test.check.generators/fmap	1
logseq-qualified-var	clojure.test.check.generators/generate	11
logseq-qualified-var	clojure.test.check.generators/nat	1
logseq-qualified-var	clojure.test.check.generators/recursive-gen	1
logseq-qualified-var	clojure.test.check.generators/tuple	1
logseq-qualified-var	clojure.test.check.generators/vector	2
logseq-qualified-var	clojure.test/*stack-trace-depth*	1
logseq-qualified-var	clojure.test/*testing-contexts*	2
logseq-qualified-var	clojure.test/*testing-vars*	1
logseq-qualified-var	clojure.test/inc-report-counter	2
logseq-qualified-var	clojure.test/is	1
logseq-qualified-var	clojure.test/report	2
logseq-qualified-var	clojure.test/run-tests	1
logseq-qualified-var	clojure.test/testing-contexts-str	2
logseq-qualified-var	clojure.test/testing-vars-str	2
logseq-qualified-var	clojure.test/with-test-out	2
logseq-qualified-var	clojure.tools.build.api/copy-dir	1
logseq-qualified-var	clojure.tools.build.api/create-basis	2
logseq-qualified-var	clojure.tools.build.api/delete	1
logseq-qualified-var	clojure.tools.build.api/jar	1
logseq-qualified-var	clojure.tools.build.api/java-command	1
logseq-qualified-var	clojure.tools.build.api/pom-path	1
logseq-qualified-var	clojure.tools.build.api/process	1
logseq-qualified-var	clojure.tools.build.api/write-pom	1
logseq-qualified-var	clojure.tools.cli/parse-opts	1
logseq-qualified-var	clojure.tools.deps/combine-aliases	1
logseq-qualified-var	clojure.walk/keywordize-keys	2
logseq-qualified-var	clojure.walk/postwalk	37
logseq-qualified-var	clojure.walk/prewalk	10
logseq-qualified-var	clojure.zip/append-child	1
logseq-qualified-var	clojure.zip/down	6
logseq-qualified-var	clojure.zip/edit	2
logseq-qualified-var	clojure.zip/end?	1
logseq-qualified-var	clojure.zip/insert-right	4
logseq-qualified-var	clojure.zip/next	1
logseq-qualified-var	clojure.zip/node	2
logseq-qualified-var	clojure.zip/path	1
logseq-qualified-var	clojure.zip/replace	1
logseq-qualified-var	clojure.zip/right	4
logseq-qualified-var	clojure.zip/rightmost	4
logseq-qualified-var	clojure.zip/root	3
logseq-qualified-var	clojure.zip/up	3
logseq-qualified-var	clojure.zip/zipper	2
logseq-qualified-var-status	cljs.analyzer.api/all-ns	out-of-scope	1	clojurescript-analyzer-introspection-is-a-compiler-host-api-not-a-native-or-melange-runtime-stdlib-namespace
logseq-qualified-var-status	cljs.cache/evict	source-aggregate	3	precompiled-lg-source
logseq-qualified-var-status	cljs.cache/lookup	source-aggregate	3	precompiled-lg-source
logseq-qualified-var-status	cljs.cache/lru-cache-factory	source-aggregate	3	precompiled-lg-source
logseq-qualified-var-status	cljs.cache/miss	source-aggregate	3	precompiled-lg-source
logseq-qualified-var-status	cljs.cache/through	source-aggregate	1	precompiled-lg-source
logseq-qualified-var-status	cljs.core.async/<!	out-of-scope	1	core-async-is-an-independent-library-explicitly-excluded-from-the-lg-stdlib-port
logseq-qualified-var-status	cljs.core.async/alts!	out-of-scope	1	core-async-is-an-independent-library-explicitly-excluded-from-the-lg-stdlib-port
logseq-qualified-var-status	cljs.core.async/chan	out-of-scope	2	core-async-is-an-independent-library-explicitly-excluded-from-the-lg-stdlib-port
